OID_b,FID,COUNT_b,AREA_b,MEAN_b
847,846,159904,159904,0.193189492
848,847,159910,159910,0.133875263
849,848,159897,159897,0.28659461
850,849,159870,159870,0.230713753
851,850,159886,159886,0.177322515
852,851,159906,159906,0.226846695
853,852,159885,159885,0.092957894
854,853,159910,159910,0.103294722
855,854,159910,159910,0.112654739
856,855,159884,159884,0.176456404
857,856,159886,159886,0.154453773
858,857,159884,159884,0.098403694
859,858,159877,159877,0.043599771
860,859,159908,159908,0.003016068
861,860,159908,159908,0
862,861,159884,159884,0.154910554
863,862,159908,159908,0.065161855
864,863,159887,159887,0.02239309
865,864,159862,159862,0.007597988
866,865,159895,159895,0.020494583
867,866,159907,159907,0
868,867,159896,159896,0
869,868,159895,159895,0
870,869,159906,159906,0
871,870,159886,159886,0
872,871,159860,159860,0
873,872,159896,159896,0
874,873,101071,101071,0
875,874,131451,131451,0
876,875,159873,159873,0.162067866
877,876,159887,159887,0.082673468
878,877,159900,159900,0.047961447
879,878,159898,159898,0
880,879,159903,159903,0
881,880,159911,159911,0
882,881,159904,159904,0
883,882,159887,159887,0.087119961
884,883,159887,159887,0.16443733
885,884,159890,159890,0.197607037
886,885,159887,159887,0.219768876
887,886,159912,159912,0.237016688
888,887,159910,159910,0.195057245
889,888,159886,159886,0.170892404
890,889,159910,159910,0.095547032
891,890,159886,159886,0.193055587
892,891,159862,159862,0.209858778
893,892,159905,159905,0.2092119
894,893,159910,159910,0.165168783
895,894,159887,159887,0.149354862
896,895,159909,159909,0.170855387
897,896,159910,159910,0.138739502
898,897,159865,159865,0.245571051
899,898,159885,159885,0.263340343
900,899,159899,159899,0.094406188
901,900,159891,159891,0.210737582
902,901,159903,159903,0.212561172
903,902,159908,159908,0.120736431
904,903,159899,159899,0.200929976
905,904,159875,159875,0.051385752
906,905,159886,159886,0.004877033
907,906,159895,159895,0.003628034
908,907,159884,159884,0.018637165
909,908,159907,159907,0.011988552
910,909,159908,159908,0.014063199
911,910,159884,159884,0
912,911,159892,159892,0.013897908
913,912,159883,159883,0
914,913,159867,159867,0
915,914,159907,159907,0
916,915,159907,159907,0
917,916,159883,159883,0
918,917,159906,159906,0
919,918,159893,159893,0
920,919,100117,100117,0
921,920,132362,132362,0
922,921,159890,159890,0.109274224
923,922,159912,159912,0.150867596
924,923,159903,159903,0.071500975
925,924,159865,159865,0.221242717
926,925,159890,159890,0.097173288
927,926,159912,159912,0.110357766
928,927,159889,159889,0.104896843
929,928,159912,159912,0.217980118
930,929,159911,159911,0.263665724
931,930,159885,159885,0.194296108
932,931,159889,159889,0.247698217
933,932,159887,159887,0.143935423
934,933,159888,159888,0.1212662
935,934,159904,159904,0.020732141
936,935,159910,159910,0.045218329
937,936,159900,159900,0.222047211
938,937,159897,159897,0.222316926
939,938,159891,159891,0.214625734
940,939,159884,159884,0.181798171
941,940,159875,159875,0.216786042
942,941,159908,159908,0.190124035
943,942,159909,159909,0.118681172
944,943,159885,159885,0.204557094
945,944,159908,159908,0.308969964
946,945,159895,159895,0.060718829
947,946,159861,159861,0.185929927
948,947,159892,159892,0.277804237
949,948,159909,159909,0.317834446
950,949,159885,159885,0.081647995
951,950,159908,159908,0
952,951,159908,159908,0.003403863
953,952,159872,159872,0
954,953,159884,159884,0
955,954,159889,159889,0
956,955,159892,159892,0
957,956,159898,159898,0
958,957,159907,159907,0
959,958,159902,159902,0
960,959,159879,159879,0.000395772
961,960,159882,159882,0
962,961,159887,159887,0
963,962,159881,159881,0
964,963,159907,159907,0
965,964,159906,159906,0
966,965,99193,99193,0
967,966,133281,133281,0
968,967,159902,159902,0.122231634
969,968,159912,159912,0.600734942
970,969,159906,159906,0.817576783
971,970,159895,159895,0.316092967
972,971,159911,159911,0.356224009
973,972,159888,159888,0.22612743
974,973,159863,159863,0.473501468
975,974,159904,159904,0.263090148
976,975,159912,159912,0.182420941
977,976,159887,159887,0.312784175
978,977,159910,159910,0.178685787
979,978,159911,159911,0.18430493
980,979,159869,159869,0.262729437
981,980,159887,159887,0.212177291
982,981,159896,159896,0.210905194
983,982,159887,159887,0.251209383
984,983,159910,159910,0.374299876
985,984,159910,159910,0.231778738
986,985,159886,159886,0.150207647
987,986,159898,159898,0.187386797
988,987,159885,159885,0.174733418
989,988,159873,159873,0.228923593
990,989,159904,159904,0.325195434
991,990,159910,159910,0.296117895
992,991,159897,159897,0.080448995
993,992,159896,159896,0.219683549
994,993,159900,159900,0.218178924
995,994,159881,159881,0.201020934
996,995,159864,159864,0.049210085
997,996,159908,159908,0.001605239
998,997,159907,159907,0.008874144
999,998,159884,159884,0
1000,999,159908,159908,0
1001,1000,159903,159903,0
1002,1001,159857,159857,0
1003,1002,159884,159884,0
